algoritmo,n,rodada,repeticoes,tempo_total_s
inversao,1000,1,204800,5.355600000000e-02
inversao,1000,2,204800,5.200480000000e-02
inversao,1000,3,204800,5.114290000000e-02
inversao,1000,4,204800,5.445420000000e-02
inversao,1000,5,204800,5.403950000000e-02
inversao,1000,6,204800,5.338320000000e-02
inversao,1000,7,204800,5.128520000000e-02
inversao,1000,8,204800,5.403570000000e-02
inversao,1000,9,204800,4.714500000000e-02
inversao,1000,10,204800,4.779470000000e-02
inversao,50000,1,6400,8.037750000000e-02
inversao,50000,2,6400,8.103450000000e-02
inversao,50000,3,6400,8.409220000000e-02
inversao,50000,4,6400,9.514940000000e-02
inversao,50000,5,6400,8.548370000000e-02
inversao,50000,6,6400,8.983790000000e-02
inversao,50000,7,6400,9.177990000000e-02
inversao,50000,8,6400,9.346320000000e-02
inversao,50000,9,6400,9.292800000000e-02
inversao,50000,10,6400,8.679570000000e-02
inversao,100000,1,3200,8.404970000000e-02
inversao,100000,2,3200,8.097730000000e-02
inversao,100000,3,3200,8.202530000000e-02
inversao,100000,4,3200,8.450400000000e-02
inversao,100000,5,3200,8.436700000000e-02
inversao,100000,6,3200,8.254070000000e-02
inversao,100000,7,3200,8.467970000000e-02
inversao,100000,8,3200,8.108620000000e-02
inversao,100000,9,3200,8.404040000000e-02
inversao,100000,10,3200,8.421910000000e-02
inversao,500000,1,400,6.685070000000e-02
inversao,500000,2,400,6.668230000000e-02
inversao,500000,3,400,6.508640000000e-02
inversao,500000,4,400,6.908890000000e-02
inversao,500000,5,400,6.750620000000e-02
inversao,500000,6,400,6.653810000000e-02
inversao,500000,7,400,6.141930000000e-02
inversao,500000,8,400,6.102690000000e-02
inversao,500000,9,400,6.142210000000e-02
inversao,500000,10,400,6.130200000000e-02
inversao,1000000,1,200,6.765100000000e-02
inversao,1000000,2,200,6.653070000000e-02
inversao,1000000,3,200,6.235060000000e-02
inversao,1000000,4,200,6.692130000000e-02
inversao,1000000,5,200,6.839250000000e-02
inversao,1000000,6,200,6.835300000000e-02
inversao,1000000,7,200,6.883630000000e-02
inversao,1000000,8,200,6.792680000000e-02
inversao,1000000,9,200,6.713170000000e-02
inversao,1000000,10,200,6.836420000000e-02
